artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Alan Wilson (musician),Blues rock,1943,1970,27,1943-07-04,1943-07-04,1943-07-04,1970-09-03,1970-09-03,1970-09-03
André Pretorius (musician),Punk rock,1961,1988,27,1961-08-02,1961-08-02,1961-08-02,1988-10-13,1987-10-13,1988-10-13
Audie Pitre,Sludge metal,1970,1997,27,1970-10-05,1970-10-05,1970-10-05,1997-01-23,1997-01-23,1997-01-23
Bob Gordon (saxophonist),Jazz,1928,1955,27,1928-06-11,1928-06-11,1928-06-11,1955-08-28,1955-08-28,1955-08-28
Brian Jones,Psychedelic rock,1942,1969,27,1942-02-28,1942-02-28,28,1969-07-03,3,1969-07-03
Chris Bell (musician),Rock music,1951,1978,27,1951-01-25,1951-01-12,1951-01-25,1978-12-27,1978-12-27,1978-12-27
D. Boon,Alternative rock,1958,1985,27,1958-04-01,1958-04-01,1958-04-01,1985-12-22,1985-12-22,1985-12-22
Disco D,Ghettotech,1980,2007,27,1980-09-21,1980-09-21,1980-09-21,2007-01-22,2007-01-22,2007-01-22
Fats Navarro,Jazz,1923,1950,27,1923-09-24,1923-09-24,1923-09-24,1950-07-06,1950-07-06,1950-07-07
Gram Parsons,Country music,1946,1973,27,1946-11-05,1946-11-05,1946-11-05,1973-09-19,1973-09-19,1973-09-19
Hidden@33837542,Rock and roll,1940,1967,27,1940-11-23,1940-11-23,,1967-12-22,,1967-12-22
Janis Joplin,Blues rock,1943,1970,27,1943-01-19,1943-01-19,1943-01-19,1970-10-04,1970-10-04,1970-10-04
Kalyan Mukherjea,Hindustani classical music,1943,1970,27,,,1943,--03-31,31,
Kami (musician),Progressive rock,1972,1999,27,1972-02-01,1972-02-01,1973-02-01,1999-06-21,1999-06-21,1999-06-21
Kurt Cobain,Grunge,1967,1994,27,1967-02-20,1967-02-20,1967-02-20,1994-04-05,--04-05,1994-04-05
Marvin Humes,Pop music,1985,2012,27,1985-03-18,1985-03-18,18,,2012,
Noel Rosa,Samba,1910,1937,27,1910-12-11,1910-12-11,1910-12-11,1937-05-04,1937-05-04,1937-05-04
Overkill L.A.,Hardcore punk,1943,1970,27,1943-01-19,1943-01-19,1943-01-19,1970-10-04,1970-10-04,1970-10-04
Pan Head,Reggae,1966,1993,27,,,1966,,1993,
Robert Johnson,Delta blues,1911,1938,27,1911-05-08,1911-05-08,1911,1938-08-16,1938,1938-08-16
Rodrigo Bueno,Cuarteto Arena,1973,2000,27,1973-05-24,1973-05-24,24,2000-06-24,24,2000-06-24
Tanguito,Rock and roll,1945,1972,27,1945-09-16,1945-09-16,1945-09-16,1972-05-19,1972-05-19,Buenos_Aires
Troy Newman (Australian singer),Rock music,1970,1997,27,,,1970,,1997,
Valentín Elizalde,Banda music,1979,2006,27,1979-02-01,1979-02-01,1979-02-01,2006-11-25,2006-11-25,2006-11-25
Yutaka Ozaki,Japanese Rock,1965,1992,27,1965-11-29,1965-11-29,1965-11-29,1992-04-25,1992-04-25,1992-04-25
