donor,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103323.0,57914.899999999994,0.0,0.0,0.0,297.969,921253.8,0.0,0.0,169869.2,44685.5,0.0,86084.5
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30579.6,0.0,0.0,1524000.0,22220.3,0.0,0.0,689009.0,0.0,9836.32,21105.3,26863.29,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31997.239999999998,1710.86,69830.73999999999,340334.85000000003,399557.0,34348.9,0.0,475176.12,259654.69,924090.95
Canada,0.0,290776.0,0.0,0.0,105079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22918.9,1829230.0,0.0,0.0,6522767.8,386058.0,22400009.459999997,574277.463
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778866.0,0.0,0.0,0.0,377032.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26344.3,0.0,0.0
Finland,141173.0,0.0,0.0,0.0,174076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174061.9,7815010.1,253458.0
France,0.0,0.0,0.0,1055046.52,168243.0,0.0,243411.0,1101898.0,1264413.5,418744.0,42700.2,253844.8,0.0,2871096.6999999997,57171.8,782805.8,31200628.4,1863122.1,254115.0,2319558.369
Germany,0.0,0.0,0.0,0.0,91608900.0,0.0,0.0,49794900.0,0.0,0.0,0.0,0.0,1111230.0,768485.0,10253187.3,1539621.49,34499.0,2677398.0,30980303.44,1311873.3620000002
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25221.4,49009.3,708141.3,0.0,0.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11044.8,0.0,0.0,33009.0,708097.0,0.0,521318.0,1076470.106,0.0,60472.7,136118.2
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404036.0,0.0,19691.64,53439.1,7496.66,32888.2,0.0,34854.3,43941.06
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816180.0,1464710.0,0.0,0.0,3816420.0,0.0,339023.2,33703.4,4514328.0,35797.5,12085.5407,2679957.705,9249926.801
Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442479.64,466472.05,83923.53,3135966.0,440853.04000000004
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92300.852,361552.0,12411.644009000001,36962.0,1646228.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712359.0,0.0,0.0,0.0,85525.8,0.0,1015572.0,0.0,1511991.0,0.0,10762384.0,139260.0,12083.01
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685896.0,0.0,0.0,0.0,135292.9,0.0,612376.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216116.0,1338456.0,0.0,79547.5,0.0,116864.25,814105.28,0.0,49121.1,895072.9428470001
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313483.0,63041.5,0.0,243711.0,0.0,24043.6,0.0,3581.98,0.0,61160.299999999996
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9275255.5,16662.3,61390.5,50482.3,160982.0,297468.916,344538.80000000005,516722.8,2573589.8000000003,848318.19,1724857.68
Sweden,0.0,214396.0,0.0,0.0,5920.48,20512.6,0.0,0.0,125305.0,165728.3,79402.47,156411.0,312904.0,0.0,0.0,118217.0,0.0,279852.44,15304666.343,3202866.0999999996
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674745.0,0.0,1047553.0,431462.68,12633.9,118523.8,669827.0,181751.0,165039.0
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485.9,0.0,0.0,0.0
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317447.0,373227.0,0.0,0.0,0.0,34661880.0,727682.0,428180.0,1208996.7,2830165.23
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3864953.0,99013.8,0.0,4730976.4,7175155.9,17123764.4,4625982.1,9936466.0,119982341.272
